,date,author,twitter_name,text,number_of_likes,number_of_retweets
72,2022-10-09 16:41:13+00:00,Paola Florez,pioflorez,"@danielamercadom Me puedes explicar porque la Javeriana, el video original lo hicieron estudiantes no la institución, a diferencia del Externado que considero hizo un papelón. No se pueden manejar de esa manera la comunicaciones oficiales.",5,0
73,2022-10-09 16:39:42+00:00,Andrés Caldas,AndresCaldasQ,La Javeriana no había sido tan famosa desde lo de los Sparkies. Nunca fallan 😄,0,0
74,2022-10-09 16:38:23+00:00,val vera a harry en 51 días❤️‍🩹,alwaysfpugh,@otbtl además de que lo de la javeriana fue un estudiante y acá fue LA universidad 😭😭 que vergüenza,0,0
75,2022-10-09 16:36:20+00:00,Sara Cubides 🤍,saracubmora,"Todos estamos re de acuerdo que esa dinámica de la ropa de la Javeriana es reeee pata, pero amigos del externado que es ese video JJAJAJAJAJAJA me voy quedando con los de la jave",3,0
76,2022-10-09 16:35:27+00:00,MotoMila,MilaaPosada,El video de la javeriana si me dio cringe pero el del externado si no me voy a recuperar xd,27,0
77,2022-10-09 16:34:59+00:00,Edgar Cepeda V.,edgarcepedav,@Putagoras Cuesta más un semestre en la Universidad Nacional que en la Javeriana...eso es todo!!!!,0,0
78,2022-10-09 16:33:42+00:00,arrunchómana,Estetoscopio,Lo único que voy a decir de esta gente de la Javeriana es que es re absurdo criticarlos sin entender que lo que usamos siempre se dividirá entre usarlo por el lujo o usarlo por el diseño.,1,0
79,2022-10-09 16:31:07+00:00,Radioacktiva_,Radioacktiva_,"¿Guerra de ‘clasismo’? Dicen en redes sociales luego de un video en el que jóvenes comentan cuánto valen sus 'outfits’.

https://t.co/dWM4J1hg5v",14,0
80,2022-10-09 16:30:12+00:00,Patricia Martinez,Patrici75996547,@UExternado Parece que les dolió el video de un estudiante de la Javeriana. Etiquetar a toda una institución por lo que dijo un solo estudiante es ridículo. Lo que si es real e importante es que la Javeriana ocupo el tercer puesto a nivel nacional,0,0
81,2022-10-09 16:30:07+00:00,camilita,01100011amila,Yo me quejo de la javeriana pero en mi universidad también hay gomelos así 💀💀,0,0
82,2022-10-09 16:30:00+00:00,Pesquisa Javeriana,PesquisaPUJ,"Un estudio realizado en la @unijaveriana devela que la lechuga, durante su cultivo, fue regada con aguas residuales que contienen microorganismos perjudiciales para la salud de quienes la consumen. https://t.co/NFeQ4nv8G8",0,0
83,2022-10-09 16:29:42+00:00,Valentina,LaValsaR,Los de la Javeriana y el Externado se están peleando por Tw jaja qué risa,2,0
84,2022-10-09 16:27:32+00:00,Obelix54,maurocarreno1,"@FelipeOrjuelaR Por? A mi si me pareció muy superficial y muy elitista el video se la javeriana,  este es un claro mensaje q no hay que ser pendejo",0,0
85,2022-10-09 16:26:39+00:00,Héctor López Acero,hectorloace,"Da más pena este video que el de los impresentables de la Javeriana. Por fortuna yo nací, crecí y fui universitario en otra época. https://t.co/4m5RDh1t54",0,0
86,2022-10-09 16:20:03+00:00,Angie,ang_van7,Entre esta universidad y la Javeriana están concursando por cuál gradúa más estúpidos https://t.co/l2SYXMIo6A,1,0
87,2022-10-09 16:19:44+00:00,January 🎃 ,vid_january,"Los del Externado y la Javeriana discutiendo sobre cuánto cuesta la ropa que llevan puesta.

* Yo durante toda mi estadía en la Unal con la misma camiseta que estampé en 1er semestre en un canelazo con los parceros. https://t.co/Q9LXdLL2Kw",31,4
88,2022-10-09 16:16:45+00:00,Aura💜,Auraaa_SF,J.K Rowling después de ver los videos de La Javeriana y El Externado https://t.co/iGAq2eULrY,11,5
89,2022-10-09 16:14:28+00:00,S●f!a • 🧸🌹inactiva por la U.,rssofipxtsoa,"Mk, esto me hizo acordar al video de los de la javeriana diciendo cuato valia su outfit. Jajajajjajaj https://t.co/9DcKzYr77W",0,0
90,2022-10-09 16:10:08+00:00,Simón🎃,Mosuka__,"@bannedpablito2 pues pero ellos lo hicieron a modo consciencia social y superioridad moral, el normal fue el de la javeriana",1,0
91,2022-10-09 16:09:38+00:00,Bojji's fan,SinArr0ba,Los parceros de la Javeriana https://t.co/IjycWW0yFN,5,0
92,2022-10-09 16:07:28+00:00,Santiago F,seed3407,@UExternado Y con eso el externado se une a la javeriana y a la Sergio por su alta calidad,0,0
93,2022-10-09 16:06:01+00:00,Pocahontas ¡♫♥🎙!,judiisgomez,"Tu muy de Javeriana con tu pinta de 3 palos, yo muy de UNAD con mi ropa de segunda a 25k",0,0
94,2022-10-09 16:05:53+00:00,Nazinca,Amaltea_lav,Y pensar que esos vídeos sobre el valor de la ropa que llevan puesta del externado y la Javeriana los hacen los futuros periodistas 😬,4,0
95,2022-10-09 16:04:20+00:00,literal una bolsa,casaenllamas_,obvio ahora la chica facha tik toker de la javeriana ahora teknera xd,1,0
96,2022-10-09 15:58:44+00:00,Nathalia,nathbaenag,No sé qué es peor: si el video de la Javeriana o el del Externado.,1,0
97,2022-10-09 15:58:15+00:00,Camila,camilanocorre,"???? ya fue suficiente con lxs de javeriana y el externado para que llegue un tipo aquí todo woke, deconstruido y revolucionario a creerse el putas https://t.co/R2VnARIpZP",19,1
98,2022-10-09 15:57:43+00:00,Sebastián López Barbery,SebasLBar,JAJAJAJAJAJA prefiero a los gomelos de la javeriana que a estos sobreactuados. https://t.co/OVnMmMt37p,0,0
99,2022-10-09 15:54:56+00:00,S A L E M 🖤🎃,SalemTheCat66,"Los de la Javeriana Cali no nos sentimos representados por los de la Javeriana Bogota, no nos metan en esa colada, gracias https://t.co/pqfskL1O7o",1,0
100,2022-10-09 15:49:12+00:00,Daniela S,missfbe,"Lo que más da cringe del video del Externado es que lo planearon desde la parte de comunicaciones de la universidad y lo publicaron en la página oficial. El de la Javeriana lo hicieron unos estudiantes random.
Qué pena.",94,10
101,2022-10-09 15:46:12+00:00,💚🇳🇬 Del Cali soy 💚🇳🇬,cmazuera369,"@ortizzcarito No tienen idea ,  x q ellod  no la pagan . La pagan papi y mami. Dejen de tirarles a los de la javeriana.  Que igual la ropa se la pagan los papás.    Sean serios",0,0
102,2022-10-09 15:43:50+00:00,Juana,sofiasapoooo,Siempre Uniandina nunca Javeriana,2,0
103,2022-10-09 15:42:13+00:00,Daniela Mercado Mendoza,danielamercadom,La Javeriana y El Externado demostraron una vez más que la superioridad moral es más fastidiosa que el clasismo.,657,77
104,2022-10-09 15:42:07+00:00,S A L E M 🖤🎃,SalemTheCat66,"@ewwsapo Los de la Javeriana Cali no nos sentimos representados por los de la Javeriana Bogota, no nos metan en esa colada, gracias",0,0
105,2022-10-09 15:41:27+00:00,maría paula.,mppppf,un amigo se soñó que yo estudiaba en la javeriana y pues que peor pesadilla que esa,1,0
106,2022-10-09 15:38:53+00:00,Yeimir Alejandro Barrero Sánchez,BarreroYeimir,@JackDeLaConcha Lo mejor es que los de la U Externado citen a los de la U Javeriana a una batalla a trompadas en el parque nacional. Pueden manejar un sistema de apuestas. Yo apostaría.,3,0
107,2022-10-09 15:38:38+00:00,Simón🎃,Mosuka__,mero estupidez ese drama de la javeriana-externado,2,0
108,2022-10-09 15:38:25+00:00,Nicolás,1000deBanano,Me quedo mejor con los de la Javeriana. https://t.co/A33l9JEn5j,8,0
109,2022-10-09 15:37:24+00:00,Laura,Lauraagomezc,"Lo de las pintas caras en la Javeriana apenas es un síntoma. Vayan a alguna clase y escuchen cómo ciertas mujeres hablan como niñas, infantilizan su voz, dicen bobadas por llamar la atención, y entre ellas se tratan como párvulas. Eso es más terrible 🤢",19,2
110,2022-10-09 15:35:05+00:00,Nadie de las Casas,nadieperez23,"@RicciuP Uno no sabe quién está peor, si los huecos de la Javeriana, o los engreidos del Externado.",2,0
